
       Результат, полученный методом Эйлера

       0     0.000000000000000E+00     0.100000000000000E+01
       1     0.100000000000000E-03     0.100000000000000E+01
       2     0.200000000000000E-03     0.100000001000050E+01
       3     0.300000000000000E-03     0.100000003000150E+01
       4     0.400000000000000E-03     0.100000006000300E+01
       5     0.500000000000000E-03     0.100000010000500E+01
       6     0.600000000000000E-03     0.100000015000750E+01
       7     0.700000000000000E-03     0.100000021001051E+01
       8     0.800000000000000E-03     0.100000028001401E+01
       9     0.900000000000000E-03     0.100000036001802E+01
      10     0.100000000000000E-02     0.100000045002253E+01
      11     0.110000000000000E-02     0.100000055002754E+01
      12     0.120000000000000E-02     0.100000066003306E+01
      13     0.130000000000000E-02     0.100000078003909E+01
      14     0.140000000000000E-02     0.100000091004562E+01
      15     0.150000000000000E-02     0.100000105005266E+01
      16     0.160000000000000E-02     0.100000120006021E+01
      17     0.170000000000000E-02     0.100000136006827E+01
      18     0.180000000000000E-02     0.100000153007685E+01
      19     0.190000000000000E-02     0.100000171008594E+01
      20     0.200000000000000E-02     0.100000190009555E+01
      21     0.210000000000000E-02     0.100000210010567E+01
      22     0.220000000000000E-02     0.100000231011631E+01
      23     0.230000000000000E-02     0.100000253012748E+01
      24     0.240000000000000E-02     0.100000276013917E+01
      25     0.250000000000000E-02     0.100000300015139E+01
      26     0.260000000000000E-02     0.100000325016413E+01
      27     0.270000000000000E-02     0.100000351017741E+01
      28     0.280000000000000E-02     0.100000378019122E+01
      29     0.290000000000000E-02     0.100000406020556E+01
      30     0.300000000000000E-02     0.100000435022045E+01
      31     0.310000000000000E-02     0.100000465023588E+01
      32     0.320000000000000E-02     0.100000496025185E+01
      33     0.330000000000000E-02     0.100000528026837E+01
      34     0.340000000000000E-02     0.100000561028545E+01
      35     0.350000000000000E-02     0.100000595030307E+01
      36     0.360000000000000E-02     0.100000630032126E+01
      37     0.370000000000000E-02     0.100000666034000E+01
      38     0.380000000000000E-02     0.100000703035932E+01
      39     0.390000000000000E-02     0.100000741037920E+01
      40     0.400000000000000E-02     0.100000780039965E+01
      41     0.410000000000000E-02     0.100000820042067E+01
      42     0.420000000000000E-02     0.100000861044228E+01
      43     0.430000000000000E-02     0.100000903046447E+01
      44     0.440000000000000E-02     0.100000946048725E+01
      45     0.450000000000000E-02     0.100000990051063E+01
      46     0.460000000000000E-02     0.100001035053460E+01
      47     0.470000000000000E-02     0.100001081055917E+01
      48     0.480000000000000E-02     0.100001128058434E+01
      49     0.490000000000000E-02     0.100001176061013E+01
      50     0.500000000000000E-02     0.100001225063653E+01
      51     0.510000000000000E-02     0.100001275066356E+01
      52     0.520000000000000E-02     0.100001326069120E+01
      53     0.530000000000000E-02     0.100001378071948E+01
      54     0.540000000000000E-02     0.100001431074839E+01
      55     0.550000000000000E-02     0.100001485077795E+01
      56     0.560000000000000E-02     0.100001540080814E+01
      57     0.570000000000000E-02     0.100001596083899E+01
      58     0.580000000000000E-02     0.100001653087050E+01
      59     0.590000000000000E-02     0.100001711090267E+01
      60     0.600000000000000E-02     0.100001770093551E+01
      61     0.610000000000000E-02     0.100001830096902E+01
      62     0.620000000000000E-02     0.100001891100321E+01
      63     0.630000000000000E-02     0.100001953103809E+01
      64     0.640000000000000E-02     0.100002016107366E+01
      65     0.650000000000000E-02     0.100002080110993E+01
      66     0.660000000000000E-02     0.100002145114690E+01
      67     0.670000000000000E-02     0.100002211118459E+01
      68     0.680000000000000E-02     0.100002278122299E+01
      69     0.690000000000000E-02     0.100002346126212E+01
      70     0.700000000000000E-02     0.100002415130198E+01
      71     0.710000000000000E-02     0.100002485134257E+01
      72     0.720000000000000E-02     0.100002556138391E+01
      73     0.730000000000000E-02     0.100002628142601E+01
      74     0.740000000000000E-02     0.100002701146886E+01
      75     0.750000000000000E-02     0.100002775151248E+01
      76     0.760000000000000E-02     0.100002850155687E+01
      77     0.770000000000000E-02     0.100002926160205E+01
      78     0.780000000000000E-02     0.100003003164801E+01
      79     0.790000000000000E-02     0.100003081169477E+01
      80     0.800000000000000E-02     0.100003160174233E+01
      81     0.810000000000000E-02     0.100003240179071E+01
      82     0.820000000000000E-02     0.100003321183991E+01
      83     0.830000000000000E-02     0.100003403188993E+01
      84     0.840000000000000E-02     0.100003486194079E+01
      85     0.850000000000000E-02     0.100003570199250E+01
      86     0.860000000000000E-02     0.100003655204505E+01
      87     0.870000000000000E-02     0.100003741209847E+01
      88     0.880000000000000E-02     0.100003828215276E+01
      89     0.890000000000000E-02     0.100003916220793E+01
      90     0.900000000000000E-02     0.100004005226399E+01
      91     0.910000000000000E-02     0.100004095232094E+01
      92     0.920000000000000E-02     0.100004186237879E+01
      93     0.930000000000000E-02     0.100004278243756E+01
      94     0.940000000000000E-02     0.100004371249726E+01
      95     0.950000000000000E-02     0.100004465255788E+01
      96     0.960000000000000E-02     0.100004560261945E+01
      97     0.970000000000000E-02     0.100004656268197E+01
      98     0.980000000000000E-02     0.100004753274545E+01
      99     0.990000000000000E-02     0.100004851280990E+01
     100     0.100000000000000E-01     0.100004950287533E+01

